"Date","Number 1","Number 2","Number 3","Number 4","Number 5","Powerball","Power Play","Jackpot"
"01/09/2016","32","16","19","57","34","13","3","947900000.0000"
"01/06/2016","47","2","63","62","11","17","3","528500000.0000"
"01/02/2016","42","15","6","5","29","10","2","355800000.0000"
"12/30/2015","12","61","54","38","36","22","3","301800000.0000"
"12/26/2015","65","40","44","59","27","20","2","261700000.0000"
"12/23/2015","67","16","63","38","55","25","4","232600000.0000"
"12/19/2015","30","68","59","41","28","10","2","204600000.0000"
"12/16/2015","9","42","10","55","32","6","2","180000000.0000"
"12/12/2015","62","2","30","19","14","22","2","161000000.0000"
"12/09/2015","16","46","10","56","7","1","2","145900000.0000"
"12/05/2015","47","33","68","27","13","13","2","128700000.0000"
"12/02/2015","14","18","19","64","32","9","2","110000000.0000"
"11/28/2015","47","2","66","67","6","2","3","100000000.0000"
"11/25/2015","53","16","69","58","29","21","2","90000000.0000"
"11/21/2015","37","57","47","50","52","21","3","80000000.0000"
"11/18/2015","40","17","46","69","41","6","2","70000000.0000"
"11/14/2015","14","22","37","45","66","5","3","60000000.0000"
"11/11/2015","26","4","32","55","64","18","3","50000000.0000"
"11/07/2015","50","53","7","16","25","15","2","40000000.0000"
"11/04/2015","12","2","17","20","65","17","4","144100000.0000"
"10/31/2015","9","47","20","25","68","7","2","127500000.0000"
"10/28/2015","56","62","54","63","4","10","2","110000000.0000"
"10/24/2015","20","31","56","64","60","2","3","100000000.0000"
"10/21/2015","57","32","30","42","56","11","4","90000000.0000"
"10/17/2015","57","62","69","49","48","19","3","80000000.0000"
"10/14/2015","20","15","31","40","29","1","2","70000000.0000"
"10/10/2015","27","68","12","43","29","1","2","60000000.0000"
"10/07/2015","52","40","48","18","30","9","3","50000000.0000"
"10/03/2015","33","6","46","44","26","4","2","40000000.0000"
"09/30/2015","40","59","21","39","55","17","3","310500000.0000"
"09/26/2015","23","57","42","31","50","5","3","266600000.0000"
"09/23/2015","8","29","51","58","41","5","2","238600000.0000"
